id,indicator,datapoints,domain,improvement,weight
77,"Literacy rate, youth total (% of people ages 15-24)",45,,1,
78,"Lower secondary completion rate, female (% of relevant age group)",33,,0,
79,"Lower secondary completion rate, male (% of relevant age group)",33,,0,
80,"Lower secondary completion rate, total (% of relevant age group)",34,,1,
81,"Manufacturing, value added (annual % growth)",22,,0,
82,Net intake rate in grade 1 (% of official school-age population),14,,1,
83,"Net intake rate in grade 1, female (% of official school-age population)",14,,0,
84,"Net intake rate in grade 1, male (% of official school-age population)",13,,0,
85,"Persistence to last grade of primary, female (% of cohort)",48,,0,
86,"Persistence to last grade of primary, male (% of cohort)",48,,0,
87,"Persistence to last grade of primary, total (% of cohort)",48,,1,
88,Poverty gap at $1.90 a day (2011 PPP) (%),37,,0,
89,Poverty gap at $3.20 a day (2011 PPP) (%),37,,0,
90,Poverty gap at $5.50 a day (2011 PPP) (%),37,,0,
91,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),37,,-1,
92,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),37,,-1,
93,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),37,,-1,
94,"Preprimary education, duration (years)",21,,1,
95,"Primary completion rate, female (% of relevant age group)",46,,0,
96,"Primary completion rate, male (% of relevant age group)",46,,0,
97,"Primary completion rate, total (% of relevant age group)",49,,1,
98,"Primary education, duration (years)",50,,1,
99,"Primary education, pupils",49,,1,
100,"Primary education, pupils (% female)",48,,1,
101,"Primary education, teachers",49,,1,
102,"Primary education, teachers (% female)",49,,1,
103,Progression to secondary school (%),33,,1,
104,"Progression to secondary school, female (%)",29,,0,
105,"Progression to secondary school, male (%)",31,,0,
106,"Pupil-teacher ratio, lower secondary",26,,-1,
107,"Pupil-teacher ratio, preprimary",46,,-1,
108,"Pupil-teacher ratio, primary",48,,-1,
109,"Pupil-teacher ratio, secondary",48,,-1,
110,"Pupil-teacher ratio, upper secondary",26,,-1,
111,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),30,,1,
112,Refugee population by country or territory of asylum,31,,-1,
113,Refugee population by country or territory of origin,31,,-1,
114,"Repeaters, primary, female (% of female enrollment)",48,,0,
115,"Repeaters, primary, male (% of male enrollment)",48,,0,
116,"Repeaters, primary, total (% of total enrollment)",48,,-1,
117,"School enrollment, preprimary (% gross)",49,,1,
118,"School enrollment, preprimary, female (% gross)",49,,0,
119,"School enrollment, preprimary, male (% gross)",49,,0,
120,"School enrollment, primary (% gross)",49,,1,
121,"School enrollment, primary (% net)",48,,0,
122,"School enrollment, primary (gross), gender parity index (GPI)",49,,1,
123,"School enrollment, primary and secondary (gross), gender parity index (GPI)",49,,1,
124,"School enrollment, primary, female (% gross)",49,,0,
125,"School enrollment, primary, female (% net)",48,,0,
126,"School enrollment, primary, male (% gross)",49,,0,
127,"School enrollment, primary, male (% net)",48,,0,
128,"School enrollment, primary, private (% of total primary)",49,,0,
129,"School enrollment, secondary (% gross)",49,,1,
130,"School enrollment, secondary (% net)",21,,0,
131,"School enrollment, secondary (gross), gender parity index (GPI)",49,,1,
132,"School enrollment, secondary, female (% gross)",49,,0,
133,"School enrollment, secondary, female (% net)",21,,0,
134,"School enrollment, secondary, male (% gross)",49,,0,
135,"School enrollment, secondary, male (% net)",21,,0,
136,"School enrollment, secondary, private (% of total secondary)",22,,0,
137,"School enrollment, tertiary (% gross)",49,,1,
138,"School enrollment, tertiary (gross), gender parity index (GPI)",49,,1,
139,"School enrollment, tertiary, female (% gross)",49,,0,
140,"School enrollment, tertiary, male (% gross)",49,,0,
141,"Secondary education, duration (years)",50,,1,
142,"Secondary education, general pupils",48,,1,
143,"Secondary education, general pupils (% female)",48,,0,
144,"Secondary education, pupils",49,,0,
145,"Secondary education, pupils (% female)",48,,0,
146,"Secondary education, teachers",49,,1,
147,"Secondary education, teachers (% female)",46,,0,
148,"Secondary education, teachers, female",46,,0,
149,"Secondary education, vocational pupils",48,,1,
150,"Secondary education, vocational pupils (% female)",48,,0,
151,"Self-employed, female (% of female employment) (modeled ILO estimate)",29,,1,
152,"Self-employed, male (% of male employment) (modeled ILO estimate)",29,,0,
153,"Self-employed, total (% of total employment) (modeled ILO estimate)",29,,0,
154,"Services, value added (annual % growth)",22,,0,
155,"Tertiary education, academic staff (% female)",46,,1,
156,Trained teachers in primary education (% of total teachers),7,,1,
157,"Trained teachers in primary education, female (% of female teachers)",7,,0,
158,"Trained teachers in primary education, male (% of male teachers)",7,,0,
159,Trained teachers in secondary education (% of total teachers),3,,1,
160,"Unemployment, female (% of female labor force) (modeled ILO estimate)",29,,-1,
161,"Unemployment, male (% of male labor force) (modeled ILO estimate)",29,,0,
162,"Unemployment, total (% of total labor force) (modeled ILO estimate)",30,,-1,
163,"Unemployment, total (% of total labor force) (national estimate)",19,,0,
164,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",29,,-1,
165,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",29,,0,
166,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",29,,-1,
167,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",29,,-1,
168,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",29,,0,
169,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",29,,0,
170,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",29,,1,
171,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",29,,0,
172,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",29,,1,
